raw_log_filepath,custom_agent_won
logs/fastslow/reflect/44/20250228_194131/fastslow_raw_game0.log,True
logs/fastslow/reflect/44/20250228_194131/fastslow_raw_game1.log,False
logs/fastslow/reflect/44/20250228_194131/fastslow_raw_game2.log,False
logs/fastslow/reflect/44/20250228_194131/fastslow_raw_game3.log,False
logs/fastslow/reflect/44/20250228_194131/fastslow_raw_game4.log,False
logs/fastslow/reflect/44/20250228_194131/fastslow_raw_game5.log,False
logs/fastslow/reflect/44/20250228_194131/fastslow_raw_game6.log,False
logs/fastslow/reflect/44/20250228_194131/fastslow_raw_game7.log,False
logs/fastslow/reflect/44/20250228_194131/fastslow_raw_game8.log,True
logs/fastslow/reflect/44/20250228_194131/fastslow_raw_game9.log,False
